t0_date,weighting,n_fit,n_holdout,beta_ols,beta_qr,alpha_ols,r2_fit,r2_holdout,sigma_fit,sigma_holdout
2007-07-30,log_density,1150,5747,7.141701041407714,7.052576564266131,-4.136734075043876,0.9926677857344784,0.9532370995962324,0.17870280207851608,0.33277747214383946
2007-07-30,unweighted,5747,0,,,,,,,
2007-07-30,1_over_t,5747,0,,,,,,,
2007-08-06,log_density,1150,5747,7.127465496720646,7.035369100479075,-4.116130263070261,0.9928067410114111,0.953352911647293,0.17679949643860443,0.3323651417229294
2007-08-06,unweighted,5747,0,,,,,,,
2007-08-06,1_over_t,5747,0,,,,,,,
2007-08-13,log_density,1150,5747,7.111224102541399,7.018140942063775,-4.0933436005910835,0.9928838156543269,0.953468837748839,0.17529033376660721,0.3319518923152161
2007-08-13,unweighted,5747,0,,,,,,,
2007-08-13,1_over_t,5747,0,,,,,,,
2007-08-20,log_density,1150,5747,7.095005785552502,7.000891854993728,-4.070397044251045,0.9929649678343774,0.9535848732897113,0.1737687618847991,0.33153773695273236
2007-08-20,unweighted,5747,0,,,,,,,
2007-08-20,1_over_t,5747,0,,,,,,,
2007-08-27,log_density,1150,5747,7.079583926718442,6.983621601226165,-4.048489483096034,0.9930632249094741,0.9537010135012115,0.17207448578145654,0.33112268928855104
2007-08-27,unweighted,5747,0,,,,,,,
2007-08-27,1_over_t,5747,0,,,,,,,
2007-09-03,log_density,1150,5747,7.063507164171057,6.966329938607707,-4.025955544636247,0.9931649811734224,0.9538172534519974,0.17046805716892008,0.3307067636193193
2007-09-03,unweighted,5747,0,,,,,,,
2007-09-03,1_over_t,5747,0,,,,,,,
2007-09-10,log_density,1150,5747,7.045933852229588,6.949016620776808,-4.001620350536072,0.9932600700331049,0.9539335880427933,0.16918747467243792,0.33028997490865075
2007-09-10,unweighted,5747,0,,,,,,,
2007-09-10,1_over_t,5747,0,,,,,,,
2007-09-17,log_density,1150,5747,7.033404849422652,6.931681397063874,-3.9829311729984624,0.9934155255167436,0.9540500120009046,0.16691010556392688,0.32987233881141265
2007-09-17,unweighted,5747,0,,,,,,,
2007-09-17,1_over_t,5747,0,,,,,,,
2007-09-24,log_density,1150,5747,7.01818640810658,6.914324012387656,-3.9610555439422015,0.9935265735500302,0.9541665198745312,0.1651905590545096,0.32945387169894375
2007-09-24,unweighted,5747,0,,,,,,,
2007-09-24,1_over_t,5747,0,,,,,,,
2007-10-01,log_density,1150,5747,7.00123899255766,6.896944207148782,-3.9371484546218767,0.9936145267122966,0.9542831060268689,0.1638553915817606,0.32903459068524465
2007-10-01,unweighted,5747,0,,,,,,,
2007-10-01,1_over_t,5747,0,,,,,,,
2007-10-08,log_density,1150,5747,6.984463041111326,6.87954171712041,-3.913449351143555,0.9937048939907841,0.9543997646299915,0.16244121334185682,0.32861451365417993
2007-10-08,unweighted,5747,0,,,,,,,
2007-10-08,1_over_t,5747,0,,,,,,,
2007-10-15,log_density,1150,5747,6.965505140104902,6.862116273334132,-3.887806096670026,0.9937525511493761,0.9545164896585021,0.16130706888976037,0.32819365928773714
2007-10-15,unweighted,5747,0,,,,,,,
2007-10-15,1_over_t,5747,0,,,,,,,
2007-10-22,log_density,1150,5747,6.94619777662421,6.844667601964263,-3.8613584875892712,0.9937984278395895,0.9546332748829459,0.1603980940752202,0.3277720470953869
2007-10-22,unweighted,5747,0,,,,,,,
2007-10-22,1_over_t,5747,0,,,,,,,
2007-10-29,log_density,1150,5747,6.929163681723935,6.827195424206609,-3.8375066516117897,0.9938848173256248,0.9547501138629727,0.15900193184497488,0.3273496974445915
2007-10-29,unweighted,5747,0,,,,,,,
2007-10-29,1_over_t,5747,0,,,,,,,
2007-11-05,log_density,1150,5747,6.910794734853219,6.809699456154474,-3.8128372875338243,0.9939637715086989,0.9548669999402379,0.15764647450089786,0.3269266315925139
2007-11-05,unweighted,5747,0,,,,,,,
2007-11-05,1_over_t,5747,0,,,,,,,
2007-11-12,log_density,1150,5747,6.892621913611201,6.7921794086705685,-3.788030786784404,0.9940393512043744,0.9549839262310316,0.15633653210380324,0.3265028717189759
2007-11-12,unweighted,5747,0,,,,,,,
2007-11-12,1_over_t,5747,0,,,,,,,
2007-11-19,log_density,1150,5747,6.8760187678574205,6.774634987254159,-3.7646959434951164,0.9941233578872569,0.9551008856186222,0.1547885481227154,0.3260784409607239
2007-11-19,unweighted,5747,0,,,,,,,
2007-11-19,1_over_t,5747,0,,,,,,,
2007-11-26,log_density,1150,5747,6.859095971299169,6.7570658919048645,-3.740998599087604,0.994224925330535,0.9552178707453034,0.1532998116765317,0.3256533634470575
2007-11-26,unweighted,5747,0,,,,,,,
2007-11-26,1_over_t,5747,0,,,,,,,
2007-12-03,log_density,1150,5747,6.841483506805311,6.739471816981182,-3.716732668767783,0.9943107806080338,0.9553348740041303,0.15189708528029555,0.3252276643368817
2007-12-03,unweighted,5747,0,,,,,,,
2007-12-03,1_over_t,5747,0,,,,,,,
2007-12-10,log_density,1150,5747,6.825182358136164,6.721852451054639,-3.6936780924515062,0.9944158548061675,0.95545188753033,0.15025194770170636,0.32480136985724734
2007-12-10,unweighted,5747,0,,,,,,,
2007-12-10,1_over_t,5747,0,,,,,,,
2007-12-17,log_density,1150,5747,6.8090103943895315,6.70420747675932,-3.670790983060982,0.9945176217448455,0.9555689031923723,0.14860225774349,0.3243745073434439
2007-12-17,unweighted,5747,0,,,,,,,
